City,Latitude,Longitude,Max Temp,Humidity,Clouds,Wind (in mph),Country,Date
Chimbote,-9.0853,-78.5783,290.89,86,72,3.33,PE,1621475287
Kalmunai,7.4167,81.8167,300.55,80,87,2.7,LK,1621475287
Fort-Shevchenko,44.5086,50.263,291.76,69,5,8.94,KZ,1621475288
Airai,-8.9266,125.4092,296.31,45,73,1.77,TL,1621475288
Inhambane,-23.865,35.3833,293.77,68,5,2.92,MZ,1621475288
Yellowknife,62.456,-114.3525,277.44,30,20,0.45,CA,1621475227
Nouadhibou,20.931,-17.0347,292.14,88,0,9.26,MR,1621475289
Kiama,-34.6833,150.8667,294.58,54,79,1.34,AU,1621475289
Aklavik,68.2191,-135.0107,286.61,47,42,3.94,CA,1621475290
Mutare,-18.9707,32.6709,284.44,97,5,0.99,ZW,1621475290
Kununurra,-15.7667,128.7333,303.14,30,7,4.12,AU,1621475290
Timbiquí,2.7717,-77.6654,297.35,93,89,0.81,CO,1621475290
Roebourne,-20.7833,117.1333,300.38,21,1,6.78,AU,1621475291
Ambilobe,-13.2,49.05,292.49,86,10,1.5,MG,1621475291
Lázaro Cárdenas,17.9583,-102.2,298.81,64,0,2.58,MX,1621475292
Tiksi,71.6872,128.8694,272.56,93,100,3.75,RU,1621475292
Atar,20.5169,-13.0499,302.52,15,0,3.12,MR,1621475292
Castro,-24.7911,-50.0119,283.94,52,1,1.09,BR,1621475292
Dunedin,-45.8742,170.5036,288.6,55,36,2.49,NZ,1621475293
Carnarvon,-24.8667,113.6333,294.19,64,0,4.12,AU,1621475293
Flin Flon,54.7682,-101.865,274.8,60,100,5.11,CA,1621475293
Karlivka,49.4567,35.1295,284.28,96,100,5.53,UA,1621475294
Wanning,18.8003,110.3967,304.32,65,92,6.96,CN,1621475294
San Cristobal,7.7669,-72.225,292.13,99,66,1.42,VE,1621475294
Ostrovnoy,68.0531,39.5131,285.91,70,55,0.58,RU,1621475294
Ha Tinh,18.3333,105.9,307.43,52,100,2.05,VN,1621475295
Brownsville,25.9018,-97.4975,294.12,91,100,2.24,US,1621475295
Fortuna,40.5982,-124.1573,287.3,66,75,4.47,US,1621475295
Buin,-33.7333,-70.75,287.45,80,100,0.79,CL,1621475296
Mandera,3.9366,41.867,298.21,67,44,5.95,KE,1621475296
Lagoa,39.05,-27.9833,288.26,85,100,7.1,PT,1621475296
Amapá,1.0,-52.0,295.07,99,64,0.89,BR,1621475297
Nelson Bay,-32.7167,152.15,293.31,61,64,0.89,AU,1621475297
Narsaq,60.9167,-46.05,278.27,67,60,1.81,GL,1621475297
De Aar,-30.6497,24.0123,288.81,34,87,4.75,ZA,1621475298
Kumul,42.8,93.45,298.33,13,63,3.91,CN,1621475298
San Lorenzo,-25.3333,-57.5333,295.67,55,0,3.51,PY,1621475298
Goderich,43.7501,-81.7165,297.33,35,100,2.06,CA,1621475299
Hobart,-42.8794,147.3294,287.66,51,20,1.79,AU,1621475103
Srednekolymsk,67.45,153.6833,279.9,63,91,4.81,RU,1621475299
Anadyr,64.75,177.4833,276.43,94,20,6.71,RU,1621475299
Lebu,-37.6167,-73.65,284.88,80,55,5.32,CL,1621475300
Mossamedes,-15.1961,12.1522,297.1,45,0,3.83,AO,1621475300
Maoming,21.65,110.9,302.89,73,100,5.18,CN,1621475300
Liwale,-9.7667,37.9333,288.94,74,88,2.2,TZ,1621475300
Coyhaique,-45.5752,-72.0662,278.12,100,75,2.06,CL,1621475301
Kirov,58.5966,49.6601,287.78,71,11,2.93,RU,1621475301
Ponta do Sol,32.6667,-17.1,296.5,58,4,2.52,PT,1621475301
Žemaičių Naumiestis,55.3592,21.7022,280.66,93,98,2.48,LT,1621475302
Ayamé,5.6083,-3.1563,296.93,96,86,1.43,CI,1621475302
Whitehorse,60.7161,-135.0538,288.76,35,75,4.02,CA,1621475157
Polovinnoye,54.7914,65.9864,287.53,51,34,0.36,RU,1621475302
Lüderitz,-26.6481,15.1594,287.97,83,5,2.81,NA,1621475303
Toora-Khem,52.4675,96.11,278.5,95,100,1.4,RU,1621475303
Tecolutla,20.4833,-97.0167,297.85,71,100,1.42,MX,1621475303
Madimba,-10.4,40.3333,294.77,91,20,4.08,TZ,1621475304
Marand,38.4329,45.7749,289.34,41,0,1.41,IR,1621475304
Usinsk,65.9939,57.5281,292.04,64,100,2.47,RU,1621475304
Olafsvik,64.8945,-23.7142,277.58,67,18,4.49,IS,1621475305
Artesia,33.8658,-118.0831,297.7,66,1,2.24,US,1621475210
Port Lincoln,-34.7333,135.8667,292.75,45,100,1.24,AU,1621475305
Miandrivazo,-19.5167,45.4667,294.47,60,0,2.24,MG,1621475166
Chui,-33.6971,-53.4616,282.77,86,100,1.42,UY,1621475305
Denia,38.8408,0.1057,291.23,84,73,2.24,ES,1621475306
Stavern,59.0,10.0333,281.68,84,9,3.68,NO,1621475306
Ailigandí,9.2333,-78.0167,299.44,88,8,2.65,PA,1621475306
Cairns,-16.9167,145.7667,298.74,89,40,6.17,AU,1621475250
Tabou,4.423,-7.3528,298.87,80,100,2.15,CI,1621475307
Vila Franca do Campo,37.7167,-25.4333,291.38,92,40,2.1,PT,1621475307
Russell,32.3502,-85.1999,297.75,63,1,4.39,US,1621475123
Burns Lake,54.2331,-125.7533,285.83,78,96,2.02,CA,1621475308
Uyovu,-3.2833,31.5258,290.69,91,100,0.11,TZ,1621475308
Makueni Boma,-1.8041,37.6203,289.01,92,100,0.49,KE,1621475308
Grindavik,63.8424,-22.4338,276.41,74,40,0.94,IS,1621475308
Constitución,-35.3333,-72.4167,286.68,94,100,3.79,CL,1621475309
Lorengau,-2.0226,147.2712,303.06,69,12,2.65,PG,1621475309
Richmond,37.5538,-77.4603,294.34,66,1,1.54,US,1621475028
Fairbanks,64.8378,-147.7164,291.13,34,1,3.09,US,1621475178
Kitgum,3.2783,32.8867,291.21,95,100,0.31,UG,1621475310
Bereda,43.2686,-7.5406,283.38,94,100,0.72,ES,1621475310
Río Gallegos,-51.6226,-69.2181,281.18,87,90,2.57,AR,1621475310
Lubao,14.9167,120.55,307.92,51,100,2.95,PH,1621475310
Mahabalipuram,12.6264,80.1722,302.62,62,46,4.0,IN,1621475311
Esim,4.8699,-2.2405,299.75,82,80,2.93,GH,1621475311
Kokuy,52.2037,117.5529,287.55,43,100,2.47,RU,1621475311
Nur-Sultan,51.1801,71.446,283.12,57,0,4.34,KZ,1621475312
Sinnamary,5.3833,-52.95,298.86,88,100,5.98,GF,1621475312
Tual,-5.6667,132.75,299.26,92,100,8.72,ID,1621475312
Doumé,4.2333,13.45,292.83,98,33,0.59,CM,1621475313
Leh,34.1667,77.5833,279.88,64,56,1.75,IN,1621475313
Cockburn Town,21.4612,-71.1419,299.41,76,100,10.05,TC,1621475313
Ilulissat,69.2167,-51.1,274.16,86,90,1.54,GL,1621475313
Matsusaka,34.5667,136.5333,291.09,91,100,1.63,JP,1621475314
Ola,59.5833,151.2833,274.5,88,91,3.9,RU,1621475314
Esperance,-33.8667,121.9,291.06,76,2,2.83,AU,1621475315
São Filipe,14.8961,-24.4956,296.85,75,98,2.51,CV,1621475315
Zhanakorgan,43.9098,67.2495,297.49,36,21,2.78,KZ,1621475315
Berlevåg,70.8578,29.0864,278.14,94,100,3.1,NO,1621475315
Prince Rupert,54.3161,-130.3201,284.2,76,90,2.57,CA,1621475194
Carauari,-4.8828,-66.8958,295.87,97,100,0.72,BR,1621475316
Khatanga,71.9667,102.5,269.96,91,88,1.86,RU,1621475316
Ixtapa,20.7,-105.2,295.76,82,11,1.18,MX,1621475316
Belaya Gora,68.5333,146.4167,275.02,97,100,2.91,RU,1621475317
Castrovillari,39.8203,16.2123,285.87,92,63,2.28,IT,1621475317
Jhelum,32.9331,73.7264,300.2,55,0,2.45,PK,1621475317
Andenes,69.3143,16.1194,279.14,93,90,3.09,NO,1621475318
Kabanjahe,3.1001,98.4908,294.57,68,99,0.62,ID,1621475318
Newburgh,41.5034,-74.0104,296.01,69,1,0.0,US,1621475233
Edinburgh,55.9521,-3.1965,282.72,88,80,0.35,GB,1621475019
Bongaree,-27.0797,153.1586,297.1,58,87,4.51,AU,1621475318
Swan River,52.1058,-101.2676,286.09,38,6,6.69,CA,1621475319
Agüimes,27.9054,-15.4461,293.07,75,75,12.35,ES,1621475319
Bertoua,4.5833,13.6833,292.36,93,47,0.81,CM,1621475319
Leshukonskoye,64.8989,45.7622,292.79,65,46,3.38,RU,1621475319
Dauphin,51.1494,-100.0502,293.23,21,1,6.17,CA,1621475320
Rocha,-34.4833,-54.3333,280.28,90,26,0.65,UY,1621475320
Pishin,30.5803,66.9961,295.48,12,0,0.57,PK,1621475320
Birao,10.2849,22.7882,299.91,53,43,1.7,CF,1621475321
Palekastro,35.2,26.25,293.18,63,0,1.12,GR,1621475321
Sokoto,13.0609,5.239,304.25,23,49,1.83,NG,1621475321
San Quintín,30.4833,-115.95,290.13,81,8,6.82,MX,1621475322
Mil'kovo,54.7167,158.6167,289.13,44,79,4.37,RU,1621475322
Portland,45.5234,-122.6762,287.57,60,75,1.34,US,1621475204
Alugan,12.2188,125.4808,301.4,81,100,3.01,PH,1621475322
Pevek,69.7008,170.3133,274.09,89,72,2.9,RU,1621475322
Karratha,-20.7377,116.8463,300.79,22,2,6.56,AU,1621475323
Salalah,17.0151,54.0924,302.2,79,40,1.03,OM,1621475323
Kupang,-10.1667,123.5833,303.47,62,20,6.69,ID,1621475323
Karatau,43.1667,70.4667,293.46,46,4,1.74,KZ,1621475324
Najrān,17.4924,44.1277,296.51,16,9,1.28,SA,1621475324
Erenhot,43.6475,111.9767,294.24,34,2,5.7,CN,1621475324
Emerald,-23.5333,148.1667,296.67,49,40,5.14,AU,1621475325
Raudeberg,61.9875,5.1352,279.52,91,100,6.11,NO,1621475325
Kathu,7.9178,98.3332,305.16,73,100,5.38,TH,1621475325
Dolores,-36.3132,-57.6792,281.95,81,100,2.25,AR,1621475325
Doksy,50.5647,14.6555,281.16,93,7,0.98,CZ,1621475326
Sabang,5.8933,95.3214,302.08,73,100,4.5,ID,1621475326
The Valley,18.217,-63.0578,300.27,75,96,4.86,AI,1621475286
Vestmannaeyjar,63.4427,-20.2734,277.34,82,100,1.77,IS,1621475326
Ahipara,-35.1667,173.1667,291.26,69,89,2.87,NZ,1621475327
Rome,43.2128,-75.4557,294.23,68,1,0.0,US,1621475327
Novki,56.3608,41.0775,288.18,90,20,2.47,RU,1621475327
Sand Springs,36.1398,-96.1089,293.53,97,90,3.05,US,1621475328
Sibu,2.3,111.8167,298.32,99,40,1.0,MY,1621475328
Marathon,44.9,-89.7668,293.89,92,90,2.97,US,1621475328
Līsakovsk,52.5369,62.4936,287.99,52,7,3.36,KZ,1621475328
Kisi,9.0833,3.85,297.69,81,37,3.81,NG,1621475329
Longyearbyen,78.2186,15.6401,268.06,74,75,4.12,SJ,1621475329
Dokri,27.3743,68.0967,305.21,33,0,4.83,PK,1621475329
Skibbereen,51.55,-9.2667,282.04,95,100,13.12,IE,1621475330
Duminichi,53.9345,35.1099,284.56,95,98,4.71,RU,1621475330
Roblin,51.23,-101.3565,283.66,52,1,5.49,CA,1621475123
Tessalit,20.1986,1.0114,306.32,20,34,7.41,ML,1621475330
Muisne,0.6,-80.0333,297.82,89,99,3.34,EC,1621475331
San Policarpo,12.1791,125.5072,301.37,81,100,3.06,PH,1621475331
Cayenne,4.9333,-52.3333,297.64,90,75,5.45,GF,1621475331
Lavaca,28.615,-96.6261,294.18,83,1,2.57,US,1621475332
Mnogovershinnyy,53.9353,139.9242,274.49,98,100,1.68,RU,1621475332
Calbuco,-41.768,-73.1273,284.71,83,57,8.29,CL,1621475332
Diamantino,-14.4086,-56.4461,295.13,54,7,2.11,BR,1621475333
Gravdal,68.1214,13.5031,278.57,77,100,5.97,NO,1621475333
Naze,28.3667,129.4833,299.66,81,15,6.97,JP,1621475333
Jalu,29.0331,21.5482,298.8,24,0,3.36,LY,1621475333
Bilibino,68.0546,166.4372,275.99,73,97,1.04,RU,1621475334
Tuatapere,-46.1333,167.6833,288.61,71,31,2.7,NZ,1621475334
Sajalices,8.6834,-79.8707,300.77,89,7,3.89,PA,1621475334
Mae Hong Son,19.3003,97.9685,302.23,70,20,1.54,TH,1621475335
Ossora,59.2353,163.0719,276.61,92,95,2.47,RU,1621475335
Puerto Escondido,15.85,-97.0667,302.61,70,40,0.0,MX,1621475335
Dingle,10.9995,122.6711,302.49,72,100,1.46,PH,1621475336
Christchurch,-43.5333,172.6333,289.26,74,8,3.58,NZ,1621475133
Vuktyl,63.8567,57.3094,290.54,65,87,2.46,RU,1621475336
Muddebihāl,16.3333,76.1333,298.53,72,37,5.45,IN,1621475336
Faya,18.3851,42.4509,293.44,34,5,1.91,SA,1621475337
Muros,42.7762,-9.0603,288.06,54,74,1.52,ES,1621475337
San Rafael,-34.6177,-68.3301,287.25,80,18,5.38,AR,1621475337
Campbell River,50.0163,-125.2446,288.36,43,40,3.09,CA,1621475186
Mehamn,71.0357,27.8492,278.23,91,100,2.84,NO,1621475338
Maués,-3.3836,-57.7186,296.71,98,100,0.55,BR,1621475338
Carutapera,-1.195,-46.02,297.97,90,0,2.39,BR,1621475288
Lakes Entrance,-37.8811,147.981,291.03,49,94,3.85,AU,1621475338
Corsicana,32.0954,-96.4689,295.68,82,100,1.34,US,1621475339
Tallahassee,30.4383,-84.2807,298.51,70,100,1.34,US,1621475141
Oleksandrivka,48.9634,32.2349,283.32,93,93,6.42,UA,1621475339
Ulladulla,-35.35,150.4667,290.65,39,22,1.4,AU,1621475339
Padilla,3.2204,-76.3139,292.88,93,96,1.83,CO,1621475340
Dingli,35.8614,14.3822,291.24,72,0,7.72,MT,1621475340
Uozu,36.8,137.4,295.45,61,100,1.6,JP,1621475340
Chernyshkovskiy,48.4219,42.2308,286.92,99,96,0.0,RU,1621475341
Mazagão,-0.115,-51.2894,300.18,97,23,1.22,BR,1621475341
Khovu-Aksy,51.1333,93.6,277.76,97,100,4.54,RU,1621475341
Ukiah,39.1502,-123.2078,290.39,45,1,7.72,US,1621475342
Antofagasta,-23.65,-70.4,288.75,79,10,3.13,CL,1621475088
Hof,50.3167,11.9167,280.66,94,56,1.34,DE,1621475342
Batagay,67.6333,134.6333,276.6,73,100,2.67,RU,1621475342
Holme,56.1138,10.1725,281.32,94,56,5.06,DK,1621475343
Oni,42.5794,43.4425,282.54,56,0,2.44,GE,1621475343
Solnechnyy,50.7214,136.6319,283.47,79,100,2.2,RU,1621475343
Kendari,-3.945,122.4989,302.04,73,88,0.36,ID,1621475170
Katsuura,35.1333,140.3,293.84,86,100,3.38,JP,1621475344
Plastun,44.7561,136.2939,295.53,50,15,2.73,RU,1621475344
Khorixas,-20.3667,14.9667,288.16,37,0,1.27,NA,1621475344
Kiryat Gat,31.61,34.7642,293.05,85,0,1.67,IL,1621475341
Eyl,7.9803,49.8164,300.68,65,99,9.84,SO,1621475345
Port Blair,11.6667,92.75,302.54,71,100,2.26,IN,1621475118
Shancheng,34.7953,116.0817,294.13,62,32,5.96,CN,1621475345
Lompoc,34.6391,-120.4579,294.7,65,1,8.75,US,1621475346
Mazarrón,37.5992,-1.3149,291.41,85,24,3.67,ES,1621475346
Nyuksenitsa,60.4128,44.2397,288.52,82,2,1.69,RU,1621475346
Saldanha,-33.0117,17.9442,288.18,95,100,8.98,ZA,1621475346
Grand Gaube,-20.0064,57.6608,295.03,78,15,1.34,MU,1621475347
Umluj,25.0213,37.2685,299.7,69,0,1.94,SA,1621475347
Kosonsoy,41.2561,71.5508,293.76,36,26,1.7,UZ,1621475124
Natal,-5.795,-35.2094,298.51,81,20,3.49,BR,1621475061
Revelstoke,50.9832,-118.2023,288.16,36,1,4.63,CA,1621475336
Santa Vitória do Palmar,-33.5189,-53.3681,283.05,86,100,1.18,BR,1621475348
Buala,-8.145,159.5921,301.88,76,99,2.88,SB,1621475348
Muravlenko,63.7898,74.523,276.3,45,100,5.98,RU,1621475348
Guerrero Negro,27.9769,-114.0611,290.03,80,0,8.14,MX,1621475174
Taurisano,39.9566,18.2141,286.58,72,14,5.69,IT,1621475349
Palana,59.1167,159.9667,272.81,92,100,9.94,RU,1621475349
Cidreira,-30.1811,-50.2056,286.77,76,100,1.72,BR,1621475349
Buchanan,5.8808,-10.0467,298.62,87,88,1.39,LR,1621475349
Great Bend,38.3645,-98.7648,294.44,75,40,1.34,US,1621475350
Bubaque,11.2833,-15.8333,299.26,82,100,4.98,GW,1621475350
Bullhead City,35.1478,-114.5683,310.83,5,1,10.8,US,1621475350
Harper,4.375,-7.7169,299.05,80,100,2.19,LR,1621475351
